,recommended,review_text
171,0,movie joins revenge boogeyman zombiez part hellish trinity horror films 
172,0,certainly mean distinction good way 
173,0,mean terrible way 
174,0,film redeeming features 
175,0,everything appalling 
176,0,artless camera-work endlessly presents us ugliest setting imaginable i.e 
177,0,story beyond stupid 
178,0,script script 
179,0,kids annoying 
180,0,lead man charisma-free 
181,0,utterly without merit level akin torture 
182,0,even say  torture 
183,0,maybe would reasonable explanation atrocity 
184,0,pleasant voyage self-discovery 
185,0,highly unrecommended 
186,0,premise sound stupid 
187,0,yes bad 
188,0,nothing recommend 
189,1,excellent performance ms 
190,1,garbo showed right bat talents could carry silent era wanted see silent work netflix seem stocking 
191,1,also great see renowned silent screenwriter frances marion missed step going silent sound 
192,0,movie suffered writing needed suspense 
193,0,many close ups 
194,0,movie seemed drag heroes really work freedom 
195,0,movie definitely average rent 
196,1,love 
197,0,movie bad 
198,0,bad 
199,0,film way long 
200,0,definitely one bad ones 
201,1,movie received great quality film age 
202,1,john wayne incredible job young movie industry 
203,1,screen presence shined thought even though senior actors screen 
204,1,think must see older john wayne film 
205,0,really see anyone could enjoy movie 
206,0,think 've ever seen movie half boring self-indulgent piece junk 
207,0,probably would better director spent movie showcasing art work really noteworthy 
208,0,another thing really like character got punched face gallon blood would spew forth soon 
209,1,jamie foxx absolutely ray charles 
210,1,performance simply genius 
211,1,owns film spacek owned `` coal miner daughter '' quaid owned `` great balls fire '' 
212,1,fact hard remember part ray charles acted played man 
213,1,ray charles legendary 
214,1,ray charles life provided excellent biographical material film goes well beyond another movie musician 
215,1,hitchcock great director 
216,0,ironically mostly find films total waste time watch 
217,1,secondly hitchcock pretty much perfected thriller chase movie 
218,0,pandering audience sabotages films 
219,0,hence whole story lacks certain energy 
220,0,plot simply rumbles like machine desperately depending addition new scenes 
221,0,usual hitchcock logic flaws 
222,0,mishima extremely uninteresting 
223,0,chilly unremarkable movie author living/working chilly abstruse culture 
224,0,flat reenactments hold attention emotionally adrift stagy 
225,0,rest sits awful soldiers singing songs masculinity pledge hairsplitting purity admiration swords etc 
226,0,bore pieces kill momentum movie quicker anyone else 
227,0,schrader made resume full lousy amateurish films 
228,1,first watched movie 80s loved 
229,1,totally fascinated music dancing everything 
230,0,however recently watched whole thing dvd completely struck extremely stupid storyline contained holes inconsistencies frankly whole lot crap horrid dancing 
231,0,mean realistic world would never gotten ballet repertory whole thing quite pathetic 
232,0,character developments also lacked depth 
233,0,woa talk awful 
234,0,waste time 
235,0,horrible 
236,0,worst sappiest dialogue could go 
237,0,really made unwatchable direction 
238,0,poor actors 
239,0,even tell talent pathetic lines speak director gave action 
240,0,check director filmography site see film chance 
241,0,would even good made tv flick 
242,1,good intentions made film great film might one greatest films ever made 
243,1,film great actors master director significant theme -- least would-be significant theme undertone fifties existential world-weariness aerial scenes ought thrilled senses imagination characters one might deeply care 
244,0,regrettably film fails 
245,0,movie lacks visual interest drama expression feeling celebration patriotism underlines narrative 
246,0,actress worse used june allison movie 
247,1,yet enjoy watching 
248,0,unfortunately bad movie plain bad 
249,0,bad script bad direction horrible acting make one plain bad 
250,0,dialogue sucked 
251,0,cinematography-if called that-sucked 
252,0,soundtrack sucked 
253,0,acting sucked 
254,0,concert sequences sucked 
255,1,nice 
256,1,funny 
257,1,funny 
258,0,overall movie cheap trash 
259,0,movie funny considering ridiculousness 
260,0,came feeling angry 
261,1,spoilers whatever else said surface superbly crafted 
262,1,cinematography simply stunning say least fx nothing state-of-the-art 
263,1,conceptually show offers little bit everything- everybody parents kids fantasy and/or fx fans 
264,1,single sour note struck acting-wise either surprisingly solid casting 
265,1,things considered job well done 
266,1,thanks good movie like done released 
267,1,one best mexican movies ever one less understood even mexican matter identified felt 
268,1,ranks highly great noir-crime-drama incredible performances belmondo lino ventura 
269,1,attention given every character complex psychological portrayals detailing loyalty treachery love hope tremendous 
270,1,excellent drama excellent thriller excellent film 
271,1,best melville 
272,1,everything film simply incredible 
273,1,truly take journey eyes soul child 
274,1,black water thriller manages completely transcend limitations indie flick continually subverting expectations emerge intense experience 
275,1,performances real gripping crocdodile extremely well done indeed black water website believed used real crocs swamp location fabulous 
276,1,thoroughly enjoyed christopher eccleston took control tardis continuation series 
277,0,'m sure trying film 
278,0,turn good day feeling night disturbing memories guess succeeded 
279,1,lot beautiful places 
280,0,forced like everything movie 
281,0,lame 
282,0,movie really pi ed 
283,0,even get started jerky camerawork 
284,0,saw theater thought going sick 
285,0,summary witticisms witty 
286,0,plot well said 'd let one go 
287,0,acting bad 
288,0,really bad 
289,0,even billy bob could rise script worse 
290,0,camerawork bad 
291,0,rating 1 10 
292,1,amazing finale possibly best trilogy time 
293,1,kieslowski never ceases amaze 
294,1,one favourite directors one talented directors history cinema 
295,1,use colours french flag three films nothing short incredible every shot every scene like work art 
296,1,three visually appealing movies 've ever seen 
297,1,subtle connections three films awesome 
298,1,mention huge spoiler loved ending characters three films remaining survivors ferry disaster valentine young judge together old man watching tv solidifying happiness suffering dealt many years 
299,1,could think better way end film smile face great way wrap amazing film trilogy 
300,1,recommend everyone loves film movies anything work art 
301,1,10 10 movie trilogy 
302,0,literally vomited watching film 
303,1,think one people found another one roth pearls 
304,1,performance awarded stunning 
305,1,story told eloquently francis ford coppola 25 years earlier really unfolds gradually leaves room characters develop 
306,1,wonderful location lies story contrast 
307,1,beautiful directed film nicola roeg wih sublime cast 
308,0,'m translating movies living first movie 5-year working experience found offensive intelligence 
309,0,someone strives greatness poetry delivers muddled often ridiculous story bunch disparate scenes pretentious dialogue get worst kind movie reviewer accurately defined `` pretentious crap '' 
310,0,find movie intelligent even masterful say intelligence imagination obviously used try make sense pitiful attempt human nature try make sense things 
311,0,one thing tolerate political incorrectness well 'm artistic freedom suspension disbelief slavic female character much 
312,1,fun funny movie 
313,1,highly entertaining angles 
314,1,features outlandish array memorable psychotic lovable nuts 
315,1,enjoyment get see run around play games dangerous 
316,1,even sweet moments 
317,1,telephone repair man really funny reactions nuts bitchy boss truly genuine 
318,1,characters film tremendously well played 
319,1,really find funny 
320,1,actually smart movie 
321,1,brilliant twist ending 
322,1,love 
323,1,ending perfect shed tear 
324,1,thrilled seeing movie like 
325,1,never forget 
326,1,cult cult classic 
327,0,depth character man underneath 
328,0,malta settings dry barren dialogue 
329,0,movie terrible 
330,0,hockey scenes terrible defensemen playing like 5 years old goalies diving shots 10 feet wide net etc 
331,0,seen waste time 
332,0,call movie drama ridiculous 
333,0,started watching believe characters 
334,0,particular relationship bakery assistant waitress work 
335,0,superficial movie gave feeling watching play rather film 
336,0,characters 'stagey storyline lot like stage farce 
337,0,time pyromaniac waylaid assistant bored care happened next switched 
338,0,glad pay see 
339,0,laugh even smile 
340,0,anything one big yawn 
341,1,really good show watch 
342,1,educational children 1 8 years old 
343,1,barney definitely super de duper 
344,1,pretty funny 
345,1,babie bop cute 
346,1,kids cool 
347,0,`` storm trooper '' even bad enough make list wonderfully terrible movies 
348,0,lame 
349,0,guy said better dialogue potted plants right 
350,0,everything movie stupid 
351,0,even love bad movies watch movie 
352,0,shameful 
353,1,would give television series 10 plus could 
354,1,writers `` smack '' think best actors actresses bonus show.these characters real 
355,1,must say taped episodes find watching 
356,1,know gave 10+ 
357,1,know exactly movie latched endearing movie become special part family memories 
358,1,totally absolutely recommend movie anyone likes good wholesome family movies exactly 
359,1,things four kids get absolutely hilarious watch 
360,1,one best movies shows strong sibling bond 
361,1,much interesting action suspense less unneeded controversy 
362,1,everything acting cinematography solid 
363,1,definitely worth checking 
364,1,damian talented versatile many ways writing portraying different characters screen 
365,1,movie cutting edge 
366,1,pleased know modern day genius letting passion art drive taking us audience 
367,0,new characters memorable found forgetting 
368,0,felt though going ireland absolutely nothing whatsoever 
369,0,make scared horrified make sympathetic towards characters simply annoying 
370,0,jerky camera movements also annoying 
371,0,plot pretty much every cheap horror 
372,0,pathetic attempts give characters depth really work rest plot 
373,0,guess supposed clever twist shed light situation stupid 
374,0,see probably leave shelf 
375,1,elias koteas jack palance play good roles angelina hot gets naked.billy drago appears cool usual cameo sven ole thorsen helps make enjoyable movie good acting decent budget 
376,1,awesome movie bought ebay 
377,1,really loved story line poler bear kinda cute.but anyone question fort steele ask away 
378,0,totally unfunny movie top pathetic unrealistic throughout whole 90 minutes utter torture probably looked watch 70000 times 
379,0,lucy bell much higher crap sink low quite depressing 
380,0,movie make sick watching slackers make excuses stupid actions 90 minutes 
381,0,god never get 90 minutes back 
382,1,think wonderful parts literally full `` wonder '' excerpts works 
383,1,sets especially designed work camera amazing .... stylized beautiful effective 
384,1,could used exemplars set designer 
385,1,stories powerful explorations nature man art 
386,1,watching film wanted learn works artist 
387,1,highly recommend movie anyone interested art poetry theater politics japanese history 
388,1,wind lion see wonderful rendering america imperial age 
389,1,makes story different terrific production values faultless photography composition editing terrific casting underappreciated brian keith playing bully teddy vivid history 
390,1,though wind lion told largely eyes son every member family identify one characters whether sean connery noble brigand candace bergen feisty heroine john huston wily john hay steve kanaly spiffy radiant ruthless can-do lieutenant roosevelt `` big stick '' 
391,1,high adventure best 
392,1,think robert ryans best film portrayed someone like father schizophrenic real life father although never murdered anyone affected second world war made worse 
393,1,humour get get day apt 
394,1,mother brother saw robert ryan portraying type man good imitation type individual impressed 
395,0,almost songs cover girl old-fashioned tuneful 
396,0,annoying thing 'cover girl way rita hayworth put pedestal 
397,0,unfortunately 'cover girl example hollywood used exploit women financial gain 
398,1,non-linear narration thus many flashbacks every part articulated quite well 
399,1,good cinematography also makes monica bellucci look beautiful 
400,1,good commentary today love undoubtedly film worth seeing 
401,1,people first timers film making think excellent job 
402,1,popular cinema good house good reactions plenty laughs 
403,1,feel-good film felt came cinema 
404,1,northern humour positive community represents 
405,1,rather enjoyed 
406,1,liked 
407,0,could take seriously 
408,1,really created unique feeling though 
409,1,vivian schilling excellent job script 
410,1,world better 95 garbage theatres today 
411,1,role played well 
412,1,screamy masculine right 
413,1,camera really likes movie 
414,1,would casted role ready script 
415,1,european movie nice throwback time student 1980 experiences living abroad interacting nationalities although circumstances slightly different 
416,0,fan movie sucked really bad 
417,0,even worse ticker 
418,0,movie bad 
419,0,like 3 4 buildings used couple locations maybe poor hummh 
420,0,blew 
421,1,movie excellent angel beautiful scamp adorable little yelps hes scared funniest parts scamp caught curtain angel scamp singing 'ive never feeling before'.i totally recommend movie coming special edition june 20.the cover scamp garbage angel underneath lid 
422,1,cant explain movie romantic charming hilarious adorable.the junkyard scenes funny junkyard dogs something special.too funny laughed kids love it.buy comes new features 
423,0,chosen tortured disgusting piece blatant american propaganda 
424,0,show made americans stupid full hatred clichés admitted elsewhere 
425,0,almost everyone involved must return school acting utterly predictable bad script pile garbage round 
426,0,wish could enter negative values admins 
427,0,sets bad would look place thunderbirds episode 
428,0,use slow-motion needlessly repeats throughout movie well backed bad acting bad kind word continuity scenes thrown reason whatsoever vehicles looked like made corn flakes box directorial style bordered stupidity 
429,0,oh yeah storyline pathetic 
430,0,hate writing bad reviews films especially really like star film bad believe one second anyone could proud 
431,0,filmmaker director would hide head sand 'd spent whatever amount money time movie 
432,0,short monumental waste time energy would recommend anyone ever see film 
433,0,came free dvd player bought still turned thing halfway embarrassed howell 
434,0,1/10 setting 0/10 
435,1,interesting premise billy drago always good dangerous nut-bag side note 'd love see drago stephen mchattie lance hendrikson flick together talk raging cheekbones 
436,1,soundtrack terrible either 
437,0,acting -- even professionals drago debbie rochon -- terrible directing worse perhaps contributory former dialog chimp-like camera work barely tolerable 
438,1,still sets got big `` 10 '' `` oy-vey '' scale 
439,0,yes simplifying things sake brevity really core problems film much going without real fulfilling explanation 
440,1,good jobs quite amusing 
441,0,convoluted plot convince much film watched weird questioning glance 
442,0,let girlfriend talk seeing bad idea hated 
443,1,last 15 minutes movie also bad well 
444,0,bela lugosi totally extraneous intoning odd lines 
445,0,acting decidely wooden though worse period universal b movie 
446,1,like armand assante cable company summary sounded interesting watched twice already probably 
447,1,believe screenwriter good job tying loose ends 
448,1,8/10 score mostly plot 
449,1,say like spoilers want one believe film worth time 
450,0,wow bad film 
451,0,frightening least barely comprehensible 
452,0,plot hang together acting absolutely appalling 
453,0,even good camp value 
454,0,expecting oscar material 
455,0,'d iq particularly stupid mollusk see one coming 
456,0,film use word loosely insult movie-going public 
457,0,someone involved knew string together narrative 
458,0,gets 1 10 simply nothing lower 
459,0,one watched recently fox movie channel disappointed 
460,0,know contract player little control scripts acting bad script 
461,0,victor mclaglen even bad brian donlevy almost unrecognizable 
462,0,considering relations screen taylor stanwyck surprising little chemistry screen two 
463,0,premise film ridiculous president u.s 
464,0,death row scenes entirely unmoving 
465,0,thing worse taylor acting stanwyck singing 
466,0,whatever producer going missed entirely 
467,1,deeply impressed character played 
468,1,knew saw film great things come gifted actor 
469,0,cheap cheerless heist movie poor characterisation lots underbite style stoic emoting think chow yun fat better tomorrow cheesy clichés thrown abandoned factory ready poorly executed flying judo rolls la john woo 
470,0,even squibs look awful 
471,0,point proceedings look remotely like america 
472,0,plot derivative predictable ending like mercy killing 
473,0,awful dialogue hopeless overacting everyone gets shot top real waste space time 
474,0,uneasy bad movie scared 
475,0,dialogue composed things make little sense 
476,0,30 minutes footage wasted show mediocre elderly actors awkwardly babbling overwrought pseudo-satanic gibberish corny enough make teen goth blush almost always olde english sometimes latin may may made words 
477,0,directing sloppy best 
478,0,hackneyed writing certainly made even worse bad directing 
479,0,course acting blah 
480,0,acting whole cast could put scale balanced perfectly overacting underacting 
481,0,finally get ending would 've great handled competent people jerry falwell 
482,1,loved movie great portrayal family share ups end knew special love 
483,1,seen many movies starring jaclyn smith god one best though came 12 years ago 
484,1,movie contained all-star cast loved opened eyes see actors seen 
485,1,movie kind long length enjoyed every minute 
486,1,overall rate movie 10 1-10 scale 
487,1,lifetime air enough anyone knows store sells let know must-have 
488,0,particularly remember senses assaulted strident cords music would blare little warning even less meaning 
489,0,sort pap screened afternoon punish unemployed jobs 
490,1,totally different loads understatement black comedy film get see remember 
491,1,movie creates universe fascinating every way 
492,1,movie really got 
493,1,see 
494,1,really hope team behind movie makes movies continue kinda weird style 
495,1,forgot casting superb trond fausa aurvåg perfect role bothersome man understand 
496,1,movie good humorous comment life 2006 
497,1,found move beautiful enjoyable uplifting 
498,1,initially local sites film filmed buffalo intrigued 
499,1,later found lost power film 
500,1,entire audience applauded conclusion film 
501,1,left theater lilt step joy heart hope human race 
502,1,duris wholesome appearance gives fine performance 
503,1,rest cast also play well 
504,1,cinematography noteworthy including fine views barcelona famed gaudi towers 
505,0,ten minutes film started second thoughts 
506,0,half way film started dislike 
507,0,time film ended disliked despised 
508,0,film lacks convincing script 
509,0,script looks rough draft written shooting began finished script completed 
510,0,things happen characters personalities change plot twists occur real reason script calls 
511,1,cast good 
512,1,worth checking 
513,0,probably irritating show ever seen entire life 
514,0,indescribably annoying idiotic show ever seen 
515,0,everything bad 
516,0,could understand kind idiot would produce mess first place mention several season 
517,0,script bad bad  contains cheesiness unethical joke normally see rated r nc-17 movie 
518,0,casting also horrible cause see really really bad actors period 
519,0,final word show real torture 
520,0,zillion times away reality 
521,0,watching washing machine twirling around would hurt eyes much show 
522,0,rating 0/10 grade z note show bad even mother cast pull daughter show 
523,0,20th century fox road house 1948 quite silly noir implausible unmitigated bore movie 
524,0,full unconvincing cardboard characters blandly written edward chodorov also produced surprisingly directed jean negulesco one would expect great deal 
525,0,widmark character turns unintentionally comical 
526,0,losing marbles early proceedings totally implausible unconvincing 
527,0,enough mess movie picture also marred constant use studio sets indoor exteriors 
528,0,whatever prompted documentary beyond 
529,0,serious spoilers movie huge disappointment 
530,0,many problems dont know start 
531,1,cast great 
532,1,steve martin delivers really funny performance middle-aged upper class uptight white guy 
533,1,add betty white jean smart great cast everyone played parts really well 
534,0,movie makes lot serious mistakes 
535,0,first enough racial stereotypes racial jokes offend everyone 
536,0,movie littered overt racial slurs towards black cast members return whites depicted morons boobs 
537,0,putting race card aside lets look major flaw film destroy latifa character 
538,0,real plot 
539,0,wouldnt see movie free 
540,1,steamboat willie amazingly important film cinema history 
541,1,second appearance mickey mouse following silent plane crazy earlier year probably famous film -- mostly ground-breaking 
542,1,yet hear mickey speak tons sound effects music throughout film -- something take granted huge crowd pleaser 1928 
543,1,however seeing short 25 years amazed timeless film actually 
544,1,adorable seeing mickey playing `` turkey straw '' highly imaginative occasionally cruel way 
545,1,clever real crowd-pleaser -- film still ranks among mickey best films even 80 wonderful years 
546,0,bipolarity ruthless thug one minute ruthless killer next minute luv diaper commercial completely unconvincing 
547,0,'m terribly disappointed film would receive many awards accolades especially far deserving works film 
548,1,original body soul 1947 masterpiece 
549,1,john garfield ann revere lilli plmer william conrad canada lee filmed one greatest cinematographers ever grace screen .. james wong howe 
550,0,think redeeming qualities remake 
551,0,may bad film ever made 
552,0,bad well bad 
553,0,movie solid example bad plot bad idea way 
554,0,shame see good actors like thomerson james make living mess like 
555,0,thought bad 
556,0,films terrible credit 1986 version watchable 
557,0,let start problemsthe acting especially lead professor bad 
558,0,script big flawed mess 
559,0,best example dumb writing established turn zombie-students back humans removing necklace containing piece meteorite 
560,0,director paul matthews also wrote/directed weak 1995 monster movie `` grim '' clearly know pace films 
561,0,movie terribly boring places 
562,0,lighting awful 
563,0,film looks cheap bland 
564,0,one disappointing aspects lack notable gore 
565,0,convention never worked well past certainly work 
566,0,visual effects awful 
567,0,cg opening sequence space looked like could created microsoft slideshow god sake 
568,0,`` explosion '' gas tanks end awful 
569,1,okay like consider fair critic give credit credit due -- creature effects actually pretty cool 
570,1,got ta love close-ups slimy drooling teeth 
571,0,sum film `` breeders '' terrible cheaply made horror movie avoided like ebola virus 
572,0,recommended 
573,0,almost unbearable watch screen little charisma terrible comedic timing 
574,0,aside terrible lead film loads debits 
575,0,understand supposed cheap popcorn comedy mean completely insult intelligence writing incredibly hackneyed borders offensive 
576,0,lewis black considerable talent wasted incendiary unrestrained pg-13 rating certainly allow 
577,1,film sole bright spot jonah hill look almost unrecognizable fans recent superbad due amount weight lost interim 
578,0,originality freshness first movie spent remake little else offer 
579,0,budget evidently limited 
580,0,reflected cast also below-par script borrowed much earlier classic 
581,0,however decent acting action location work balance things 
582,0,filmiing less expansive 
583,0,failed convey broad sweep landscapes great part original 
584,0,generally lacked imagination 
585,0,recommended 
586,0,possible movie get worse 
587,0,plot keep going first place 
588,0,even women finally show sign improvement expected things happen time film might far asleep 
589,0,beware trashy cult movie trash -period 
590,0,believe even sequel 
591,0,precisely giving bad review 
592,1,90 child truly enjoyed show proudly say enjoyed big time even classical wb cartoons 
593,1,`` tiny toons '' kept 90 vibe delivered one popular funny underrated cartoons ever created 
594,1,memories murky say enjoyed every single episode product related show 
595,1,easily none cartoon made laugh tender way getting dark sitcoms oriented teenagers 
596,1,characters funny peculiarity true lead character 
597,1,every single character hilarious deserved called lead 
598,0,every element story top excessively phony contrived painful sit 
599,0,lines seem written fifteen year old though trying oh hard sound like fifteen year old would really um know well talk 
600,1,perabo nice energy level obviously comfortable front camera 
601,0,simply excuse something poorly done 
602,0,saw movie thought stupid movie 
603,0,even stupid thought idea volcano los angeles 
604,0,honest unbelievable nonsense foolish 
605,0,conclusion bother movie volcano los angeles nothing nonsense 
606,0,story line awful 
607,0,painful 
608,0,accents absolutely abysmal 
609,0,also enough hypocrisy film make vomit 
610,0,waste time watching rubbish non-researched film 
611,1,believe pitch black done well 
612,1,characters interesting want find longer movie goes think people surprised make 
613,1,go watch 
614,0,omit watching 
615,1,funny 
616,0,rating 3 10 
617,1,characters interesting really care 
618,1,instant classic great soundtrack catchy song ending credits 
619,1,miss 
620,1,masterful piece film-making many themes simmering occasionally boiling warts study poet bohemian self-indulgent wartime years span aerial bombardments london outward tranquillity welsh coastal retreat borderlines friendship lust love dedication art experience versus practical concerns jealousy rivalry cowardice egotism versus heroism self-sacrifice 
621,1,mature subtle script suggests occasionally brings dramatic focus underlying tensions well served perfect performances apart odd inappropriate smiling keira knightley prone though perhaps direction time characters often mention 
622,1,exquisite visual composition moment inventive elegant use close-up camera angle lighting including pointillistic faux home movie footage wonder joy behold 
623,1,continuously beautiful look bertolucci relationships convincing narrative engaging master work 
624,0,basic premise wasted since sidelined inexplicable focus documentary crew 
625,0,regardless film fails levels 
626,0,avoid costs 
627,1,saw film christmas great film 
628,1,thought errol flynn brilliant custer since become favourite actor 
629,1,acting alongside olivia de havilland brilliant ending fantastic 
630,1,always known errol flynn brilliant actor dads favourite actor grew watching films child 
631,1,watched film realised great actually 
632,1,give film 10 10 
633,0,know jim o'connor energetic nobody could much george well dull 
634,0,really seem want hosting voice-overs monotonous get involved guests 
635,1,lovely little thriller hitchcock lots nice shenanigans surrounding murdered spy kidnapped child nasty church foreign plot random taxidermists 
636,1,jimmy stewart ever great hero hitchcock story rips along cool climax embassy function lacks brooding menace hitchcock black white low-budget original 
637,1,nevertheless yet another wonderful film great master stable 
638,1,say film excellently produced tops ratings typical sci fi film 
